plotID,site,grid,module,SectionLength,LOC,DRE,SIST,M.BAC,REG,IG,Lat,Long,pH_KCl,pH_H2O,P_available.mg_kg.,Ca_cmol,Mg_cmol,Al_cmol,K_cmol,Fe_mg,Zn_mg,SumofBases_cmol,SumofBases_cmol.log,KrigeSoil_fernR,clay,silt,sand,PH,TEMP,COND,O2,AGUA,ORD.IG,VM,LARG,VZ,PMED,PMAX,AR,AG,LT,LF,TR,MA,RA,SE,RO,AF,FE,sa.latlong.treecover,sa.latlong.evergreen,CHELSA_bio_5,CHELSA_bio_6,CHELSA_bio_17,class_Ribas,class_Steege,bior,ECO_NAME,ECO_NUM,G200_REGIO,G200_NUM
BR319_M01_TN_0500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.353377003,-59.85562996,3.68,4.31,NA,0.28,0.13,2.1,0.06,238.5,1.1,0.47,-0.326979092871104,-0.727907145858726,10.5,50.21,39.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,61,311.645568847656,233.115936279297,258,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M01_TN_1500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.350999896,-59.84685821,3.66,4.11,NA,0.24,0.18,1.9,0.06,235,1.4,0.48,-0.317854923626168,-0.716818651641211,8.5,72.43,19.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,61,311.660522460938,233.075119018555,261,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M01_TN_2500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.348887237,-59.83823148,0,0,NA,0.05,0.05,5,0.14,291.5,1.5,0.24,-0.617982957425132,-0.715802487379883,30,52.62,17.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,50,312.020446777344,233.277145385742,261,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M01_TN_3500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.3464562,-59.8295038,3.85,4.42,NA,0.51,0.17,1.8,0.07,348,1.2,0.75,-0.124360062995832,-0.715802487379883,9,68.26,22.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,24,311.806274414062,233.09423828125,261,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M01_TN_4500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.34439789,-59.82082402,3.61,4.11,NA,0.76,0.18,2.6,0.09,558.1,2.4,1.03,0.013258665283517,-0.715802487379883,15,73.66,11.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,65,312.134674072266,233.340209960938,261,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M01_TS_0500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.361313157,-59.84698218,3.34,4.06,NA,0.05,0.09,5.1,0.12,195,0.9,0.26,-0.583359492661719,-0.716818651641211,22,36.85,41.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,66,311.600769042969,233.032836914062,259,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M01_TS_1500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.359162137,-59.83868315,3.69,4.08,NA,0.06,0.15,4.1,0.06,783,1.7,0.27,-0.567030709125594,-0.716818651641211,21.5,48.02,30.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,30,312.244018554688,233.478073120117,256,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M01_TS_2500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.358089477,-59.83487251,3.85,4.88,NA,0.02,0.02,1.75,0.11,359.5,1.2,0.15,-0.821023052706831,-0.716818651641211,18.5,42.35,39.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30,311.789489746094,233.148956298828,261,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M01_TS_3500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.358411286,-59.83569727,3.85,4.4,NA,0.91,0.22,1.25,0.06,235,3.7,1.19,0.075911761482777,-0.716818651641211,6.5,71.93,21.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,30,311.789489746094,233.148956298828,261,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M01_TS_4500,NA,BR319,M01,NA,NA,NA,NA,NA,NA,NA,-3.356279237,-59.82695212,3.26,4.34,NA,1.64,0.49,3.05,0.15,374,3,2.28,0.358125285276648,-0.716818651641211,30,52.9,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30,311.946746826172,233.165969848633,261,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M02_TN_0500,NA,BR319,M02,NA,NA,NA,NA,NA,NA,NA,-3.688754368,-60.33084834,3.34,3.63,NA,0.08,0.08,3.55,0.06,370.8,0.5,0.22,-0.655607726314889,-0.800120450226256,18,62.48,19.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,55,305.592468261719,230.394973754883,234,Inambari,1,1,Purus-Madeira moist forests,57,Southwestern Amazonian Moist Forests,47
BR319_M02_TN_1500,NA,BR319,M02,NA,NA,NA,NA,NA,NA,NA,-3.68132475,-60.32175105,3.36,3.58,NA,0.06,0.12,4.61,0.06,461.3,1.3,0.24,-0.617982957425132,-0.800120450226256,21.5,47.73,30.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75,305.555877685547,230.321838378906,238,Inambari,1,1,Monte Alegre varzeÇ­,41,Amazon River and Flooded Forests,147
BR319_M02_TN_2500,NA,BR319,M02,NA,NA,NA,NA,NA,NA,NA,-3.67896085,-60.31791295,3.85,4.45,NA,0.02,0.04,2.4,0.06,95.5,0.6,0.12,-0.91721462968355,-0.800120450226256,14,65.16,20.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75,305.555877685547,230.321838378906,238,Inambari,1,1,Purus-Madeira moist forests,57,Southwestern Amazonian Moist Forests,47
BR319_M02_TN_3500,NA,BR319,M02,NA,NA,NA,NA,NA,NA,NA,-3.672126267,-60.3087736,3.57,4.09,NA,0.06,0.09,2.67,0.05,259,0.7,0.2,-0.696803942579511,-0.800120450226256,20.5,60.05,19.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,27,305.719146728516,230.448776245117,238,Inambari,1,1,Purus-Madeira moist forests,57,Southwestern Amazonian Moist Forests,47
BR319_M02_TN_4500,NA,BR319,M02,NA,NA,NA,NA,NA,NA,NA,-3.6693276,-60.30046625,3.91,4.36,NA,0.07,0.1,2.33,0.06,137,0,0.23,-0.636388020107856,-0.800120450226256,17.5,60.77,21.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,58,305.767028808594,230.450225830078,244,Inambari,1,1,Purus-Madeira moist forests,57,Southwestern Amazonian Moist Forests,47
