ID,plotID,site,module,subplot,sampl_method,nsubplotinplot,group,species,n,dispersal
75883,BR319_M01_TN_0500,BR319,M01,230,Manual,NA,termite,Heterotermes_tenuis,1,1
75884,BR319_M01_TN_0500,BR319,M01,80,Manual,NA,termite,Heterotermes_tenuis,1,1
76032,BR319_M01_TN_0500,BR319,M01,180,Manual,NA,termite,Nasutitermes_ephratae,1,1
76079,BR319_M01_TN_0500,BR319,M01,80,Manual,NA,termite,Nasutitermes_sp._7,1,1
76146,BR319_M01_TN_0500,BR319,M01,80,Manual,NA,termite,Amitermes_excellens,1,1
75840,BR319_M01_TN_1500,BR319,M01,30,Manual,NA,termite,Aparatermes_sp._1,1,1
75885,BR319_M01_TN_1500,BR319,M01,130,Manual,NA,termite,Heterotermes_tenuis,1,1
75886,BR319_M01_TN_1500,BR319,M01,180,Manual,NA,termite,Heterotermes_tenuis,1,1
75922,BR319_M01_TN_1500,BR319,M01,230,Manual,NA,termite,Araujotermes_nanus,1,1
76015,BR319_M01_TN_1500,BR319,M01,230,Manual,NA,termite,Nasutitermes_callimorphus,1,1
76031,BR319_M01_TN_1500,BR319,M01,80,Manual,NA,termite,Nasutitermes_ephratae,1,1
76033,BR319_M01_TN_1500,BR319,M01,230,Manual,NA,termite,Nasutitermes_ephratae,1,1
76056,BR319_M01_TN_1500,BR319,M01,30,Manual,NA,termite,Nasutitermes_guayanae,1,1
76067,BR319_M01_TN_1500,BR319,M01,180,Manual,NA,termite,Nasutitermes_peruanus,1,1
76217,BR319_M01_TN_2500,BR319,M01,30,Manual,NA,termite,Microcerotermes_sp._2,1,1
75814,BR319_M01_TN_3500,BR319,M01,180,Manual,NA,termite,Anoplotermes_sp._1,1,1
75887,BR319_M01_TN_3500,BR319,M01,130,Manual,NA,termite,Heterotermes_tenuis,1,1
75913,BR319_M01_TN_3500,BR319,M01,230,Manual,NA,termite,Calcaritermes_sp._1,1,1
75914,BR319_M01_TN_3500,BR319,M01,230,Manual,NA,termite,Criptotermes_sp._1,1,1
75931,BR319_M01_TN_3500,BR319,M01,180,Manual,NA,termite,Atlantitermes_sp._3,1,1
76016,BR319_M01_TN_3500,BR319,M01,230,Manual,NA,termite,Nasutitermes_callimorphus,1,1
76152,BR319_M01_TN_3500,BR319,M01,180,Manual,NA,termite,Crepititermes_verruculosus,1,1
76221,BR319_M01_TN_3500,BR319,M01,30,Manual,NA,termite,Microcerotermes_strunkii,1,1
75815,BR319_M01_TN_4500,BR319,M01,80,Manual,NA,termite,Anoplotermes_sp._1,1,1
75842,BR319_M01_TN_4500,BR319,M01,130,Manual,NA,termite,Aparatermes_sp._3,1,1
75861,BR319_M01_TN_4500,BR319,M01,30,Manual,NA,termite,Coptotermes_testaceus,1,1
75888,BR319_M01_TN_4500,BR319,M01,180,Manual,NA,termite,Heterotermes_tenuis,1,1
75889,BR319_M01_TN_4500,BR319,M01,80,Manual,NA,termite,Heterotermes_tenuis,1,1
76017,BR319_M01_TN_4500,BR319,M01,30,Manual,NA,termite,Nasutitermes_callimorphus,1,1
76018,BR319_M01_TN_4500,BR319,M01,80,Manual,NA,termite,Nasutitermes_callimorphus,1,1
76064,BR319_M01_TN_4500,BR319,M01,180,Manual,NA,termite,Nasutitermes_macrocephalus,1,1
76147,BR319_M01_TN_4500,BR319,M01,180,Manual,NA,termite,Amitermes_excellens,1,1
76218,BR319_M01_TN_4500,BR319,M01,230,Manual,NA,termite,Microcerotermes_sp._2,1,1
76222,BR319_M01_TN_4500,BR319,M01,130,Manual,NA,termite,Microcerotermes_strunkii,1,1
76223,BR319_M01_TN_4500,BR319,M01,180,Manual,NA,termite,Microcerotermes_strunkii,1,1
75816,BR319_M01_TS_0500,BR319,M01,130,Manual,NA,termite,Anoplotermes_sp._1,1,1
75817,BR319_M01_TS_0500,BR319,M01,180,Manual,NA,termite,Anoplotermes_sp._1,1,1
75818,BR319_M01_TS_0500,BR319,M01,230,Manual,NA,termite,Anoplotermes_sp._1,1,1
75890,BR319_M01_TS_0500,BR319,M01,80,Manual,NA,termite,Heterotermes_tenuis,1,1
75995,BR319_M01_TS_0500,BR319,M01,130,Manual,NA,termite,Nasutitermes_banksi,1,1
75996,BR319_M01_TS_0500,BR319,M01,180,Manual,NA,termite,Nasutitermes_banksi,1,1
76057,BR319_M01_TS_0500,BR319,M01,230,Manual,NA,termite,Nasutitermes_guayanae,1,1
76058,BR319_M01_TS_0500,BR319,M01,30,Manual,NA,termite,Nasutitermes_guayanae,1,1
76073,BR319_M01_TS_0500,BR319,M01,230,Manual,NA,termite,Nasutitermes_sp._15,1,1
76117,BR319_M01_TS_0500,BR319,M01,130,Manual,NA,termite,Triangularitermes_triangulariceps,1,1
76131,BR319_M01_TS_0500,BR319,M01,180,Manual,NA,termite,Cornitermes_ovatus,1,1
76135,BR319_M01_TS_0500,BR319,M01,130,Manual,NA,termite,Embiratermes_snyderi,1,1
76143,BR319_M01_TS_0500,BR319,M01,30,Manual,NA,termite,Syntermes_spinosus,1,1
76171,BR319_M01_TS_0500,BR319,M01,180,Manual,NA,termite,Cylindrotermes_parvignathus,1,1
76172,BR319_M01_TS_0500,BR319,M01,230,Manual,NA,termite,Cylindrotermes_parvignathus,1,1
76173,BR319_M01_TS_0500,BR319,M01,30,Manual,NA,termite,Cylindrotermes_parvignathus,1,1
75819,BR319_M01_TS_1500,BR319,M01,30,Manual,NA,termite,Anoplotermes_sp._1,1,1
75832,BR319_M01_TS_1500,BR319,M01,130,Manual,NA,termite,Anoplotermes_sp._2,1,1
75853,BR319_M01_TS_1500,BR319,M01,230,Manual,NA,termite,Ruptitermes_sp._1,1,1
75862,BR319_M01_TS_1500,BR319,M01,80,Manual,NA,termite,Coptotermes_testaceus,1,1
